video-id,n_video,date,channel,url,n_comments,youtuber-age,address,name,city,age,hobbies,health,places,school,relationship,fam&friends,pei,level,anger,anticipation,disgust ,fear,joy,sadness,surprise,trust,negative,positive,negative %,positive %,Pei_acc,Pos_acc,Neg_acc,Nor_pei,Nor_pos,Nor_neg
Janina Vela_2,2,2016-12-02,Janina Vela,https://goo.gl/yuHxge,403,16,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,6,28,7,10,33,9,13,32,20,50,4.962779156,12.40694789,89,140.4677928,58.24934518,0.843137255,0.355375913,0.329278202
Janina Vela_3,3,2016-09-24,Janina Vela,https://goo.gl/mvDP3h,2485,16,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,142,173,88,151,172,159,109,240,313,411,12.59557344,16.53923541,82,128.0608449,53.28656602,0.774509804,0.323568038,0.300393972
Janina Vela_4,4,2016-08-08,Janina Vela,https://goo.gl/YZWris,785,16,N,Y,Y,Y,Y,N,Y,Y,N,Y,12,H,20,51,13,23,47,16,26,55,43,86,5.477707006,10.95541401,72,111.5216095,40.69099258,0.676470588,0.281166156,0.227085566
Janina Vela_5,5,2016-05-29,Janina Vela,https://goo.gl/AMNj3s,759,16,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,22,58,14,34,69,31,29,67,55,115,7.246376812,15.15151515,60,100.5661955,35.21328557,0.558823529,0.2530796,0.195204367
Janina Vela_6,6,2016-04-12,Janina Vela,https://goo.gl/mX18Gv,769,16,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,11,65,12,16,72,22,31,73,29,121,3.771131339,15.73472042,50,85.41468033,27.96690876,0.460784314,0.214235437,0.153029206
Janina Vela_7,7,2016-01-16,Janina Vela,https://goo.gl/3AKS1p,2419,16,N,Y,Y,Y,Y,N,Y,N,Y,Y,13,H,28,80,29,26,89,30,33,95,77,173,3.183133526,7.151715585,43,69.67995991,24.19577742,0.392156863,0.173896103,0.131080572
Janina Vela_8,8,2015-11-04,Janina Vela,https://goo.gl/FifxXZ,116,16,N,Y,Y,Y,Y,N,Y,N,Y,Y,13,H,4,24,4,9,22,5,9,20,13,37,11.20689655,31.89655172,30,62.52824433,21.01264389,0.264705882,0.155561144,0.112554187
Janina Vela_9,9,2015-04-14,Janina Vela,https://goo.gl/CeLJQi,157,16,N,Y,Y,Y,Y,Y,Y,N,N,Y,13,H,4,25,3,7,24,4,8,17,11,31,7.006369427,19.74522293,17,30.6316926,9.805747343,0.137254902,0.073787485,0.047328119
Janina Vela_10,10,2015-01-14,Janina Vela,https://goo.gl/ASMVDh,643,16,N,Y,Y,Y,Y,N,N,N,N,N,4,L,11,34,9,11,36,8,18,39,18,70,2.799377916,10.88646967,4,10.88646967,2.799377916,0.009803922,0.023166366,0.006549842
Emma&Ellie_1,1,2017-01-09,Emma&Ellie,https://goo.gl/E61Qf2,1777,14,N,Y,Y,Y,Y,N,N,Y,N,Y,9,H,24,64,14,27,61,25,31,74,52,114,2.926280248,6.415306697,93,145.3817158,51.6090348,0.882352941,0.36797381,0.290630452
Emma&Ellie_2,2,2016-11-11,Emma&Ellie,https://goo.gl/DZiMuS,611,14,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,16,37,10,12,38,19,21,44,32,71,5.237315876,11.6202946,84,138.9664091,48.68275456,0.794117647,0.351526793,0.273598997
Emma&Ellie_3,3,2016-08-28,Emma&Ellie,https://goo.gl/ASpvoS,648,14,N,Y,Y,Y,Y,Y,Y,N,N,Y,13,H,8,28,6,16,33,19,13,38,27,55,4.166666667,8.487654321,74,127.3461145,43.44543868,0.696078431,0.321735673,0.243116916
Emma&Ellie_4,4,2016-06-15,Emma&Ellie,https://goo.gl/yjV66x,173,14,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,4,12,0,5,14,4,4,15,5,22,2.89017341,12.71676301,61,118.8584601,39.27877201,0.568627451,0.299975748,0.218866199
Emma&Ellie_5,5,2016-02-20,Emma&Ellie,https://goo.gl/pFDduS,846,14,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,19,34,10,21,36,21,18,43,30,70,3.546099291,8.274231678,51,106.1416971,36.3885986,0.470588235,0.267373596,0.202044892
Emma&Ellie_6,6,2015-12-11,Emma&Ellie,https://goo.gl/bMegUF,76,14,N,Y,Y,Y,Y,N,Y,Y,N,Y,12,H,2,14,1,1,15,3,8,18,7,19,9.210526316,25,44,97.86746545,32.84249931,0.401960784,0.246160826,0.181405983
Emma&Ellie_7,7,2015-09-22,Emma&Ellie,https://goo.gl/2g48mZ,376,14,N,Y,Y,Y,Y,N,Y,Y,N,Y,12,H,8,29,7,10,33,13,16,33,22,54,5.85106383,14.36170213,32,72.86746545,23.631973,0.284313725,0.182067958,0.127799133
Emma&Ellie_8,8,2015-07-17,Emma&Ellie,https://goo.gl/tyZLqE,35,14,N,Y,Y,Y,Y,N,N,Y,N,Y,9,H,2,8,1,3,6,1,2,2,4,9,11.42857143,25.71428571,20,58.50576332,17.78090917,0.166666667,0.14524865,0.093744934
Emma&Ellie_9,9,2015-06-30,Emma&Ellie,https://goo.gl/VgUdED,37,14,N,Y,N,Y,Y,N,Y,N,N,N,6,M,0,6,1,1,8,0,2,6,1,9,2.702702703,24.32432432,14,32.79147761,6.352337739,0.107843137,0.079324557,0.02722868
Emma&Ellie_10,10,2017-06-25,Emma&Ellie,https://goo.gl/7x2KfP,685,14,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,9,31,5,11,33,12,8,34,25,58,3.649635036,8.467153285,7,8.467153285,3.649635036,0.039215686,0.016963929,0.011498485
Sasha Morga_1,1,2017-02-28,Sasha Morga,https://goo.gl/3TJsas,10470,13,Y,Y,N,Y,N,N,N,N,N,N,7,H,82,110,83,86,119,86,65,136,205,262,1.957975167,2.502387775,81,108.5679406,37.21861342,0.764705882,0.273593792,0.206875721
Sasha Morga_2,2,2016-12-26,Sasha Morga,https://goo.gl/8MpkFS,3063,13,N,Y,Y,Y,Y,N,N,N,N,N,4,L,51,89,45,51,88,49,42,98,115,180,3.754489063,5.876591577,74,106.0655528,35.26063826,0.696078431,0.267178383,0.195479968
Sasha Morga_3,3,2016-10-14,Sasha Morga,https://goo.gl/HX0UBO,769,13,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,26,41,20,26,38,24,21,35,46,70,5.981794538,9.102730819,70,100.1889613,31.50614919,0.656862745,0.252112479,0.173628195
Sasha Morga_4,4,2016-07-22,Sasha Morga,https://goo.gl/RqWN2Q,1549,13,N,Y,Y,Y,Y,N,N,N,N,N,4,L,21,53,22,18,59,19,24,55,50,103,3.227888961,6.649451259,63,91.08623044,25.52435466,0.588235294,0.228775674,0.138813121
Sasha Morga_5,5,2016-05-09,Sasha Morga,https://goo.gl/NSTh9n,399,13,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,5,22,6,4,20,6,10,22,10,34,2.506265664,8.521303258,59,84.43677918,22.29646569,0.549019608,0.211728378,0.120026251
Sasha Morga_6,6,2016-01-30,Sasha Morga,https://goo.gl/flOQHz,1919,13,N,Y,Y,Y,Y,N,Y,N,N,N,7,M,19,57,15,19,58,27,31,57,54,105,2.813965607,5.471599792,49,75.91547592,19.79020003,0.450980392,0.189882187,0.105439353
Sasha Morga_7,7,2015-09-23,Sasha Morga,https://goo.gl/JXBtHQ,176,13,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,4,14,4,6,17,7,8,16,11,32,6.25,18.18181818,42,70.44387613,16.97623442,0.382352941,0.175854566,0.089061589
Sasha Morga_8,8,2015-06-16,Sasha Morga,https://goo.gl/ojeE4X,133,13,N,Y,Y,Y,Y,N,Y,Y,N,Y,12,H,4,17,4,5,18,5,9,16,6,29,4.511278195,21.80451128,35,52.26205795,10.72623442,0.31372549,0.129241571,0.052685512
Sasha Morga_9,9,2015-04-30,Sasha Morga,https://goo.gl/Xc7Gl9,9481,13,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,90,93,84,87,106,91,65,119,210,233,2.214956228,2.457546672,23,30.45754667,6.214956228,0.196078431,0.073341024,0.026429096
Sasha Morga_10,10,2015-02-24,Sasha Morga,https://goo.gl/8kPpYA,25,13,N,Y,Y,Y,Y,Y,Y,N,N,Y,13,H,1,6,1,1,6,1,2,2,1,7,4,28,13,28,4,0.098039216,0.067040576,0.013537669
